County,Municipality,Precinct,USC,STS,STH,School District,Total_Voters,Dem_Voters,Rep_Voters,Other_Voters,Male_Voters,Female_Voters,Unknown_Gender,Avg_Age,New_Registrations,Mail_Applications,Mail_Applications_Total,Mail_Applications_Approved,Mail_Applications_Declined,Mail_Ballots_Sent,Mail_Ballots_Returned,Mail_Ballots_Outstanding,Mail_Voters,Geo_Issue_Rows
ADAMS,ABBOTTSTOWN,ABBOTTSTOWN,,,,,2,2,0,0,0,0,2,29.0,0,2,2,2,0,2,1,1,1,2
ADAMS,ABBOTTSTOWN,ABBOTTSTOWN,13,33,193,CONEWAGO VALLEY I,641,154,374,113,273,271,97,49.2,4,33,38,33,5,33,17,16,17,0
ADAMS,ARENDTSVILLE,ARENDTSVILLE,,,,,1,1,0,0,0,0,1,55.0,0,1,1,1,0,1,0,1,0,1
ADAMS,ARENDTSVILLE,ARENDTSVILLE,13,33,193,UPPER ADAMS AREA,547,152,302,93,212,253,82,50.0,2,31,33,31,2,31,15,16,15,0
ADAMS,BENDERSVILLE,BENDERSVILLE,,,,,1,0,0,1,0,0,1,23.0,0,0,1,0,1,0,0,0,0,1
ADAMS,BENDERSVILLE,BENDERSVILLE,13,33,193,UPPER ADAMS AREA,373,113,204,56,154,168,51,47.8,2,8,10,8,2,8,5,3,5,0
ADAMS,BERWICK TWP,BERWICK,,,,,2,1,0,1,0,0,2,18.5,0,1,2,1,1,1,0,1,0,2
ADAMS,BERWICK TWP,BERWICK,13,33,193,CONEWAGO VALLEY III,1889,432,1156,301,689,822,378,54.5,14,125,154,125,29,124,82,43,82,0
ADAMS,BIGLERVILLE,BIGLERVILLE,13,33,193,UPPER ADAMS AREA,736,197,399,140,296,346,94,49.9,6,46,53,46,7,45,21,25,21,0
ADAMS,BONNEAUVILLE,BONNEAUVILLE,,,,,1,0,0,1,0,0,1,19.0,0,0,1,0,1,0,0,0,0,1
ADAMS,BONNEAUVILLE,BONNEAUVILLE,13,33,91,CONEWAGO VALLEY III,181,45,104,32,66,84,31,49.3,1,6,6,6,0,6,4,2,4,0
ADAMS,BONNEAUVILLE,BONNEAUVILLE,13,33,91,LITTLESTOWN AREA,985,227,579,179,363,393,229,52.1,8,46,49,46,3,46,26,20,26,0
ADAMS,BUTLER TWP,BUTLER,,,,,2,2,0,0,0,0,2,25.5,0,2,2,2,0,2,1,1,1,2
ADAMS,BUTLER TWP,BUTLER,13,33,193,UPPER ADAMS AREA,1771,352,1166,253,740,814,217,55.2,5,222,238,222,16,221,126,96,126,0
ADAMS,CARROLL VALLEY,CARROLL VALLEY #1,,,,,1,0,1,0,0,0,1,93.0,0,1,1,1,0,1,0,1,0,1
ADAMS,CARROLL VALLEY,CARROLL VALLEY #1,13,33,91,FAIRFIELD AREA,1843,399,1046,398,607,640,596,51.6,25,120,137,120,17,120,58,62,58,0
ADAMS,CARROLL VALLEY,CARROLL VALLEY #2,,,,,1,1,0,0,0,0,1,64.0,0,1,1,1,0,1,0,1,0,1
