COUNTY,MUNICIPALITY,CLASS,OFFICIAL_COUNTY_NAME,OFFICIAL_MUNICIPAL_NAME,OFFICIAL_CLASS_OF_MUNIC,FIPS_MUN_CODE,GEOID,CTY_MUN_CODE,MUNICIPAL_CODE,JOIN_KEY,GEO_BASE_KEY
Adams,Abbottstown Borough,Borough,ADAMS,ABBOTTSTOWN,BORO,00116,4200100116,01401,401,ADAMS|ABBOTTSTOWN BORO,ADAMS|ABBOTTSTOWN
Adams,Arendtsville Borough,Borough,ADAMS,ARENDTSVILLE,BORO,02928,4200102928,01402,402,ADAMS|ARENDTSVILLE BORO,ADAMS|ARENDTSVILLE
Adams,Bendersville Borough,Borough,ADAMS,BENDERSVILLE,BORO,05536,4200105536,01403,403,ADAMS|BENDERSVILLE BORO,ADAMS|BENDERSVILLE
Adams,Berwick Township,2nd Township,ADAMS,BERWICK,2TWP,05880,4200105880,01201,201,ADAMS|BERWICK TWP,ADAMS|BERWICK
Adams,Biglerville Borough,Borough,ADAMS,BIGLERVILLE,BORO,06296,4200106296,01404,404,ADAMS|BIGLERVILLE BORO,ADAMS|BIGLERVILLE
Adams,Bonneauville Borough,Borough,ADAMS,BONNEAUVILLE,BORO,07560,4200107560,01412,412,ADAMS|BONNEAUVILLE BORO,ADAMS|BONNEAUVILLE
Adams,Butler Township,2nd Township,ADAMS,BUTLER,2TWP,10456,4200110456,01202,202,ADAMS|BUTLER TWP,ADAMS|BUTLER
Adams,Carroll Valley Borough,Borough,ADAMS,CARROLL VALLEY,BORO,11472,4200111472,01413,413,ADAMS|CARROLL VALLEY BORO,ADAMS|CARROLL VALLEY
Adams,Conewago Township,2nd Township,ADAMS,CONEWAGO,2TWP,15632,4200115632,01203,203,ADAMS|CONEWAGO TWP,ADAMS|CONEWAGO
Adams,Cumberland Township,2nd Township,ADAMS,CUMBERLAND,2TWP,17640,4200117640,01204,204,ADAMS|CUMBERLAND TWP,ADAMS|CUMBERLAND
Adams,East Berlin Borough,Borough,ADAMS,EAST BERLIN,BORO,20792,4200120792,01405,405,ADAMS|E BERLIN BORO,ADAMS|E BERLIN
Adams,Fairfield Borough,Borough,ADAMS,FAIRFIELD,BORO,24560,4200124560,01406,406,ADAMS|FAIRFIELD BORO,ADAMS|FAIRFIELD
Adams,Franklin Township,2nd Township,ADAMS,FRANKLIN,2TWP,27320,4200127320,01205,205,ADAMS|FRANKLIN TWP,ADAMS|FRANKLIN
Adams,Freedom Township,2nd Township,ADAMS,FREEDOM,2TWP,27704,4200127704,01206,206,ADAMS|FREEDOM TWP,ADAMS|FREEDOM
Adams,Germany Township,2nd Township,ADAMS,GERMANY,2TWP,28936,4200128936,01207,207,ADAMS|GERMANY TWP,ADAMS|GERMANY
Adams,Gettysburg Borough,Borough,ADAMS,GETTYSBURG,BORO,28960,4200128960,01407,407,ADAMS|GETTYSBURG BORO,ADAMS|GETTYSBURG
Adams,Hamilton Township,2nd Township,ADAMS,HAMILTON,2TWP,32144,4200132144,01208,208,ADAMS|HAMILTON TWP,ADAMS|HAMILTON
Adams,Hamiltonban Township,2nd Township,ADAMS,HAMILTONBAN,2TWP,32200,4200132200,01209,209,ADAMS|HAMILTONBAN TWP,ADAMS|HAMILTONBAN
Adams,Highland Township,2nd Township,ADAMS,HIGHLAND,2TWP,34424,4200134424,01210,210,ADAMS|HIGHLAND TWP,ADAMS|HIGHLAND
Adams,Huntington Township,2nd Township,ADAMS,HUNTINGTON,2TWP,36424,4200136424,01211,211,ADAMS|HUNTINGTON TWP,ADAMS|HUNTINGTON
Adams,Latimore Township,2nd Township,ADAMS,LATIMORE,2TWP,41672,4200141672,01212,212,ADAMS|LATIMORE TWP,ADAMS|LATIMORE
Adams,Liberty Township,2nd Township,ADAMS,LIBERTY,2TWP,43056,4200143056,01213,213,ADAMS|LIBERTY TWP,ADAMS|LIBERTY
Adams,Littlestown Borough,Borough,ADAMS,LITTLESTOWN,BORO,43944,4200143944,01408,408,ADAMS|LITTLESTOWN BORO,ADAMS|LITTLESTOWN
